I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/HEkJUBLJxt,2016-08-01 08:04:37,
今日から8月がスタート,2016-08-01 13:31:32,
なんか、立ち込めてるなぁ…暗雲。。。 (@ 新大久保駅 in Shinjuku 東京都) https://t.co/DYbNBGm9Yy,2016-08-01 13:54:14,
毎月一回の新宿歌舞伎町 @ 西武新宿線 西武新宿駅 https://t.co/4VGLnW2yMy,2016-08-02 10:08:00,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/VwdDSFUexL,2016-08-02 10:50:15,
百人町 @ Shin-?kubo Station https://t.co/o3kMpkvM1e,2016-08-02 15:19:16,
I'm at ????? ??????? ???? https://t.co/AO34apNjX7,2016-08-02 16:55:09,
???、私たちの土地。 (@ 新大久保駅 in Shinjuku 東京都) https://t.co/KJP6t1avqH,2016-08-02 18:21:52,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/p1Vr9oFCQr,2016-08-02 18:29:36,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/JY80dCgu9O,2016-08-02 19:10:04,
『「一般市民」に触れる機会』というセルフカッコ案件,2016-08-02 22:23:42,
もう帰りたい,2016-08-03 10:14:44,
I'm at Shin-?kubo Station in Shinjuku 東京都 https://t.co/hJpPiAO5HY,2016-08-03 13:56:46,
@Simofle ???? ????? (@ 吉野家 新大久保駅前店 - @yoshinoyagyudon in 新宿区 東京都) https://t.co/rAjcAM2NCd,2016-08-03 14:05:36,
いっけなーい,2016-08-03 15:13:47,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/XofP87drIG,2016-08-03 15:17:53,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/Mju2BaArFA,2016-08-03 16:10:17,
故郷 (@ 新大久保駅 in Shinjuku 東京都) https://t.co/x6s1YOaLpp,2016-08-03 16:52:51,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/RY6K71aw6y,2016-08-03 16:54:53,
今日の晩御飯,2016-08-03 17:30:51,
Just posted a photo @ Shin-?kubo Station https://t.co/TYIt7U7KzC,2016-08-03 19:15:38,
akispi ,2016-08-04 03:34:15,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/qQ8acCWDeb,2016-08-04 15:01:27,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/n30warNdop,2016-08-04 17:37:21,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/TwEBCcfHBl,2016-08-04 19:11:05,
山手線沿線って基本下品だよな,2016-08-04 19:14:47,
東西関係なく笑　どこでもホームレスがいて、顔色悪い女がいて、得体の知れぬ外人がいる,2016-08-04 19:15:59,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/Uj80xDCohR,2016-08-04 21:30:33,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/dP75TUkJCP,2016-08-04 22:26:03,
センチュリオン狙ってゴールド作るの夢がひろがりんぐ,2016-08-05 08:07:55,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/OKoVRcKRyX,2016-08-05 11:35:21,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/pXUjiO4vni,2016-08-05 12:42:52,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/F5to6LjJPP,2016-08-05 13:41:13,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/a8W1wmGLGN https://t.co/nC0oPAoGDW,2016-08-05 15:24:51,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/g42piuQ8dx,2016-08-05 22:15:22,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/34gBUVVSwO,2016-08-05 22:29:21,
帰る。 (@ 新大久保駅 in Shinjuku 東京都) https://t.co/ydrAa5o6wb,2016-08-05 22:33:01,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/TEIF9fYAVN,2016-08-05 23:44:18,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/9byM1KOkDZ,2016-08-06 12:19:56,
あつぅー (@ 新大久保駅 in Shinjuku 東京都) https://t.co/05iObNCovt,2016-08-06 16:50:10,
I'm at 居食屋 和民 JR新大久保駅前店 in 新宿区 東京都 w/ @kawaei_shindy @nobufumi0503 @pu_nnnnn https://t.co/gMueuez40C,2016-08-06 23:15:57,
新大久保コレクションっ！,2016-08-07 02:30:54,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/bpLsIhFsK7,2016-08-07 04:51:59,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/eCCafc1Mul,2016-08-07 09:50:01,
I'm at 新大久保語学院 in 新宿区 https://t.co/VBhz0jnudx,2016-08-07 10:13:39,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/aiRgtChX8A,2016-08-07 13:42:44,
こんにちわ (@ 新大久保駅 in Shinjuku 東京都) https://t.co/4WRlrICPA1,2016-08-07 14:25:02,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/UovqbesEzJ,2016-08-07 14:58:20,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/IaQcLd3kXQ,2016-08-07 15:22:20,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/iYJgL1tuyR,2016-08-07 18:30:53,
鳥を飲みにきた (@ 鳥良商店 新大久保店 in 新宿区 東京都) https://t.co/CZrcAS3ZkD,2016-08-07 18:46:37,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/GCcMQBzGQu,2016-08-07 20:37:21,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/LHgQR6jTgQ,2016-08-07 20:43:26,
イスラム横丁で休憩。#東京 #夜 #新大久保 #イスラム横丁 #ファイティン @ イスラム横丁 https://t.co/SL1AwO41sn,2016-08-07 22:01:03,
でもって2日間音沙汰無し。彼女に期待するのやめようか。,2016-08-07 23:46:11,
やることが当たり前だとは思わないけど、最低限の情報も出さないからサボってる思われんねん。,2016-08-07 23:47:31,
変えた形跡は見えるけど、なーんで2日間音沙汰無しとかやっちゃうのかなーって。来てください来てくださいじゃ人は来ない。,2016-08-07 23:50:08,
久しぶりに新大久保〜〜,2016-08-08 00:11:16,
茶色いモノがお好きなゆらです！…ちゃんと運動しますよw 走ろー(_ _).｡o○ #夢叶ちゃん #焼きそば #ヒルナンデス #お好み焼き #ソース #マヨネーズ #ソースとマヨネーズ… https://t.co/8rJBIz3BiK,2016-08-08 16:12:49,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/vnLgpZgsxY,2016-08-08 17:06:32,
会社戻りますよ。 (@ 新大久保駅 in Shinjuku 東京都) https://t.co/nETHmVIAg3,2016-08-08 18:05:23,
ゆりな邸うぃる (@ 新大久保駅 in Shinjuku 東京都 w/ @0728acet @boston_redsox16 @gyu_chu_tai) https://t.co/FsOwToeqZS,2016-08-08 18:40:34,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/eWNPr3MqUb,2016-08-08 19:41:56,
帰る (@ 新大久保駅 in Shinjuku 東京都) https://t.co/v20Z0eENRr,2016-08-08 23:35:37,
カツヲくんの背中から醸し出される圧倒的なANIMALIA感。#88 #animalia #thecherycokes #チェリコ #shibuya #thegame… https://t.co/lsU6nqoXwy,2016-08-08 23:50:24,
という事で、今年の88も最高でした。いろいろと逢いたかった人にも会えて、一緒に酒呑んで楽しかった。#88 #hakaihayabusa #shibuya #thegame @ 渋谷The… https://t.co/IHGFnzyqsQ,2016-08-08 23:56:39,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/Wp4Z9E21w4,2016-08-09 00:25:29,
I'm at 新大久保駅 in Shinjuku 東京都 https://t.co/HpriYw2nRL,2016-08-09 11:45:16,
