初見参！ (@ 自家製麺 ほうきぼし+ in 千代田区 東京都) https://t.co/XoVHonv2KY,2016-08-01 14:56:09,
I'm at 神田駅前交差点 in 千代田区 東京都 https://t.co/h5HHG8w9lu,2016-08-01 15:39:55,
担々つけ麺を頂く。濃密?(&gt;_&lt;)旨す?#ラーメン #担々麺 @ 自家製麺　ほうきぼし＋（プラス） https://t.co/Ka9aK9xKNP,2016-08-01 21:29:11,
I'm at はなまるうどん 神田駅前店 - @hanamaru_udon in 千代田区 東京都 https://t.co/jLsbs7ztX9,2016-08-01 22:43:21,
I'm at JR 神田駅 5-6番線ホーム in 千代田区 東京都 https://t.co/xtcBO7lsNq,2016-08-02 00:09:25,
I'm at JR 神田駅 1-2番線ホーム - @jreast_official in 千代田区 東京都 https://t.co/jKZKwJQZiH,2016-08-02 00:09:47,
今週も？ここで飲んじゃってますが、今日は1年に一度のドリンク半額の日！しかも友達で店長のナカジが誕生日！しかも先月のドリンクキャンペーン、全店？で1位！なのにナカジ今月15日で店長辞めるって… https://t.co/Gz7fi0rb82,2016-08-02 22:37:23,
茶をしばく。つうか神田は喫煙所がほぼ無いのでタバコ。 (@ 神田珈琲園 神田北口店 in 千代田区 東京都) https://t.co/sJUyOux4Oj https://t.co/ISVtxEUMhM,2016-08-03 12:45:22,
I'm at 自家製麺 ほうきぼし+ in 千代田区 東京都 https://t.co/K0nOVpsKU6,2016-08-03 13:32:18,
奥田選手が引退ですね仙女 VS NEOは生観戦してますデビュー3年未満のじゃじゃ馬トーナメントのDVDも持ってます https://t.co/ydMx3vFYJ4,2016-08-03 16:59:24,
乗り換え中,2016-08-03 17:34:56,
味仙渋滞…東京人よ、そんなに味仙が恋しいのか… @ Kanda Station https://t.co/fj5wmWIDZV,2016-08-03 18:45:21,
I'm at 八咫  神田日本橋店 https://t.co/9THNQYna9G,2016-08-03 19:20:57,
1時間並びましたが、列は半分も進んでません。ここまで回転悪いラーメン屋は初めてです…(´･_･`) @ Kanda Station https://t.co/ZoqOhrz7iT,2016-08-03 19:49:21,
ついでにUO買って帰る。 (@ ファミリーマート 神田駅東口店 in 千代田区 東京都) https://t.co/UUkJfXrcPH,2016-08-03 20:27:16,
ラーメン(94.86%) 茶碗蒸し(3.19%) 味噌汁(0.94%) 豚汁(0.46%) つけ麺(0.18%) https://t.co/94wjfZu3vh,2016-08-04 06:49:28,
(；´Д`A (@ JR 神田駅 1-2番線ホーム - @jreast_official in 千代田区 東京都) https://t.co/zmUchz9nrP,2016-08-04 08:03:02,
I'm at JR 神田駅 5-6番線ホーム in 千代田区 東京都 https://t.co/QaXYMfFCGF,2016-08-04 10:18:35,
ラーメン(96.12%) チャーシューメン(3.74%) つけ麺(0.12%) 豚汁(0.01%) 餃子(0.00%) https://t.co/B6Y7AVXezS,2016-08-04 13:52:28,
I'm at JR 神田駅 5-6番線ホーム in 千代田区 東京都 https://t.co/QpkJC9TYdP,2016-08-04 15:40:53,
