「自家製ワンタン」ワンタンは福建名物“たれ”と“スープ”が選べます。店主が豚ロースを叩いて作った餡はコシが有って、豚肉の旨みが真っ直ぐに伝わる♪　東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/eufhFDB8bZ,2016-08-01 13:07:37,
「ゴーヤと玉子と豚肉の炒め」沖縄料理に影響を与えた福建料理！豚肉の旨みと毛湯のコクが活き、ゴーヤの蒼い香りを引き立てています！ 東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/QMuto1vhIW,2016-08-01 13:08:25,
8月に入りました。夏らしく、不安定な空模様ですが、今宵もご来店、お待ちしています〜！今月最初の一杯は、ブルゴーニュのシャルドネで。#東中野#ワイン#ワインバー#シャルドネ#ブルゴ… https://t.co/Tj14lNwisp,2016-08-01 17:38:13,
メリル5人。8/5@秋葉原クラブグッドマン8/18@下北沢ケイブビー @ ペンタスタジオ渋谷シティサイド https://t.co/B1HfxKUGF9,2016-08-01 23:36:29,
「豆苗炒め」サクサクッと心地良い食感に炒め上げ。にんにくの香ばしい香りと相まって、しとやかな蒼い香り。さらっとした塩気と自家製・毛湯のコクが優しい。。東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/kQlbVj87nc,2016-08-02 13:30:01,
「野菜三種と鶏肉の味噌炒め」若鶏がプリッ！　ジャガイモがトロッ！　なすがジュワッ♪　心地良い食感の連鎖を優しい味噌味がまあるく包んで、ホッ♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/xsTF9JPn3V,2016-08-02 13:30:42,
暑い暑いと言いながら、毎日冷たい飲み物を取るのもなぁ…涼しい店内では、赤ワインも美味しいですよ。南仏のしっかり系、マディランなどたまには…今宵もご来店、お待ちしています〜！… https://t.co/jVjTPVYE43,2016-08-02 17:33:59,
「豚ガツと胡瓜和え」新鮮な上に、下処理をしっかりと施しているのでコリコリッとした食感を愉しんだ後に、ガツの澄んだ旨み！ジワッとした辛さ♪　東中野・福建家庭料理 旬の香 https://t.co/etrIaSktXV https://t.co/LBE1mrm6Zv,2016-08-03 13:30:13,
「皮から手作り羽根付き餃子」エビが甘く、生姜も香る、モチモチ＆パリッパリの羽根付き餃子！「おとなの週末」も“必食”と紹介！ 東中野・福建家庭料理  旬の香 https://t.co/etrIaSktXV https://t.co/KCk36FSOjq,2016-08-03 13:30:49,
ワインバーですが、シングルモルト。個性的なアイラモルトのラフロイグです。今日の一杯目に、これをハイボールで。レモンぴをツイストして、爽やかなアペリティフの出来上がり！今宵もご来店… https://t.co/hijxC4umw1,2016-08-03 17:41:04,
「ゆで鶏のピリ辛ソースがけ」しっとりと舌に吸い付く茹で鶏の柔らかな甘みと香り！　ジワッとコクのある辛味が全体を引き締めています♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/S9V45jiryz,2016-08-04 13:20:18,
「エリンギと豚肉のバター風味炒め」プリプリのエリンギにバター醤油が良く合う！豚肉のコクと旨みも効いています♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/Kc5wYuGr4S,2016-08-04 13:20:57,
ダンディなお客様から頂いた、ラムネが3本。せっかくだからカクテルにしてみますか。個人的にはマンサニージャと割ってみたいなと…もちろん、その他のご希望にもお応えいたします。今宵もご… https://t.co/X0fL1HKqif,2016-08-04 17:38:44,
「へちまと豚肉のコク炒め」特製・毛湯と豚肉のコクをたっぷりたたえているから艶やかで奥深いコクを愉しめて、ムッチリ♪ 東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/XyxXLmjmuq,2016-08-05 13:14:22,
「福建海鮮あんかけチャーハン」海鮮、豚肉、たっぷり野菜！ トロットロの餡に優しく包まれる、心がほぐれるひと品♪　東中野・福建家庭料理　旬の香 https://t.co/etrIaS2Szl https://t.co/bdxAfXr66r,2016-08-05 13:15:03,
暑い時は肉を喰らえ！アンガス牛のステーキ、あります。1人前200グラム。肉を喰らって、週末も元気に飲みましょう！今宵もご来店、お待ちしています〜！#東中野#ワイン#ワイ… https://t.co/fJGZkNm62I,2016-08-05 17:26:19,
I'm at 麺家 ばく in 中野区 東京都 https://t.co/R6xNpI8JsM,2016-08-05 21:38:32,
名護・幸喜区先行返還へ　防衛局、探査終了 引き渡し意向 - 琉球新報 - 沖縄の新聞、地域のニュース https://t.co/fKAVjcXzq2,2016-08-05 21:38:51,
I'm at 麺家 ばく in 中野区 東京都 https://t.co/o9JkRrxIHl,2016-08-06 00:25:25,
「空心菜炒め」サクサク！トロッ！と、絶妙の炒め加減！ニンニクのコクと香りを上手に引き出して、空心菜の蒼い香りを引き立てています♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/wTXHPL3EjE,2016-08-06 15:53:33,
「マーボーナス」特製の甜麺醤と豆板醤で辛みとコクを効かせながら、彩り野菜もプラスして食感の良さと香りもプラス！　東中野・福建家庭料理　旬の香 https://t.co/etrIaS2Szl https://t.co/TISRAXup1Z,2016-08-06 15:54:51,
日中は、外出するのをためらう暑さでした。夜にかけて、少しでも気温が下がるといいのですが…そんな暑さでも、外で飲みたいお客様もいらっしゃったりして。今日も店内、店前とも18時より、皆様の… https://t.co/ThZxR5Iv5S,2016-08-06 17:30:35,
「皮から手作り　羽根付き餃子」生姜の他に海老も香るから、何もつけなくても美味しい♪ 豚肉の澄んだ旨みと生姜の香りを思いっきり楽しんで！　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/ukTaFM40NG,2016-08-07 15:40:29,
「えびとセロリの塩味炒め」プリッと、海老の甘み、シャキッとセロリの香り！　自家製毛湯ベースの塩味だから、素材の風味が艶めいています♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/jgBDTuy8Mn,2016-08-07 15:41:05,
「メンマとにんにくの芽と豚肉の炒め」メンマは、瑞々しい食感で竹の子の旨みを凝縮！　豚とにんにくの芽の名コンビに、ラー油のしなやかなコクと辛さ♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/qqBv33IjBX,2016-08-08 13:16:45,
「春雨とあさりの辛炒め」あさりの他に 豚肉もたっぷり入って濃厚な旨み！プリッと心地良い食感とウマカラを愉しみながらも、他の麺よりローカロリー♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/szu8ZMVQSF,2016-08-08 13:17:21,
さて、今夜の流し素麺の準備の前に闘魂注入！！T君の計らいにより、チャーシューがアディダスマークに盛られてます♪( ´▽｀) @ ビストロde麺酒場 燿＠東中野（旧名：らーめん燿） https://t.co/Eu1xk0GYVH,2016-08-08 14:45:52,
東中野駅横にある、珍しい、そうめんやさん。徳島半田そうめん。少し太め。この時期のそうめんは美味しい @ 阿波や壱兆 https://t.co/Er10cRCKoB,2016-08-08 20:11:11,
福建が発祥の「福建式　チンジャオロース」ピーマンの蒼い香りと玉ねぎの甘味、サクサクの豚肉の香ばしさとオイスターソースの優しいコク…相性が絶妙！　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/ySPmDzkZRw,2016-08-09 14:42:29,
「ニラレバー炒め」醤油はレバーの下味に、料理の味付は塩味！　レバーのコク、旨み、香りを活かしながらも、にらやもやしの香りも引き立っています♪　東中野・福建家庭料理旬の香 https://t.co/etrIaS2Szl https://t.co/eOAmPgLuGT,2016-08-09 14:45:28,
日中の気温が体温より高いとは…身体に堪えますね。身体を冷ますのに、キンキンに冷えた飲み物を…でも赤ワインが好きだし…という方に、赤ワイン＋コーラのカリモチョがオススメ。赤ワインでコーラの… https://t.co/G4qNlG58kw,2016-08-09 16:45:31,
魔性のチョリソー #おつまみ #チョリソー @ 阿波や壱兆 https://t.co/LiklIs8T7Q,2016-08-10 01:24:16,
焼き餃子の暴力をあなたに #餃子 @ 阿波や壱兆 https://t.co/ucjgf7j2a9,2016-08-10 01:31:20,
冷すだちそうめん！メインディッシュ！ #そうめん #すだち #すだちそうめん @ 阿波や壱兆 https://t.co/6bvAVTLtVL,2016-08-10 01:45:47,
I'm at ビストロ de 麺酒場 燿 (ひかる) in 中野区 東京都 https://t.co/rDRThuZjer,2016-08-10 12:58:50,
数量限定「手作り春巻」10数種類もの調味料を使用！　豚肉とキャベツの甘い香りとふくよかな旨みに驚かされます♪ 東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/ljyYU2rZQh,2016-08-10 13:02:43,
沖縄料理に影響を与えた福建料理！「ゴーヤと玉子の豚肉炒め」は、心地良い苦味のゴーヤに、豚肉のコク、玉子のまろみが響き合います♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/HUKQkmAi7p,2016-08-10 13:03:20,
厳しい暑さが続きます。あーもう何もかも忘れて海にでも行きたい気分…ですが、当店、定休日以外は休まず営業いたします。さて今日は北イタリアの白。ミュラートゥルガウです。心地よい酸とミネラル… https://t.co/0nqHosNuqc,2016-08-10 16:58:37,
晩御飯 (@ 麺家 ばく in 中野区 東京都) https://t.co/9iykz8hws1 https://t.co/HUA34Ukchr,2016-08-10 20:27:15,
ビタミン豊富で、免疫力を高めてくれる豆苗を自家製毛湯の旨みと共にサックサクな食感で仕上げた「豆苗炒め」身体が潤います。。。東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/neLw3TeqGI,2016-08-11 16:55:11,
「野菜三種と鶏肉の味噌炒め」香ばしくとろける食感を引き出したジャガイモに、ナス、ピーマンを使用！プリッと柔らかい若鶏と共に優しい味噌使いで♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/ZrFEl9EGOy,2016-08-11 16:55:51,
「豆苗炒め」サクサクッと心地良い食感！にんにくの香ばしい香りに引き立てられた、しとやかな蒼い香り。さらっとした塩気と自家製・毛湯のコクが決めてです♪　東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/aVvAwJeB5T,2016-10-06 13:00:15,
「福建式スペアリブの黒酢炒め」黒酢のＮＯ.１ブランド鎮江香酢使用！　香ばしく炒めたスペアリブの旨みと爽やかな黒酢の香りがグイグイと押し寄せてきます♪　東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/QefSxaMIEy,2016-10-06 13:01:08,
気持ちの良い秋空は、今日だけなのかな？こんな日はマンサニージャが美味しい！#東中野#ワイン#ワインバー#シェリー#ラギータ#wine#winebar @ La Cuna del Vino https://t.co/TGfpNmUmif,2016-10-06 16:41:31,
フライヤー置かせてもらいに来たら、魔法使いがいて、フォークがグニャグニャになった(?? ?? ?)?? @ ビストロde麺酒場 燿＠東中野（旧名：らーめん燿） https://t.co/kN5YnUtgFz,2016-10-07 00:54:19,
そんな魔法使い 太郎ちゃん！！今日は大入袋舞ちゃんと来てました〜〜！！やー、太郎ちゃんヤバイ！！！ @ ビストロde麺酒場 燿＠東中野（旧名：らーめん燿） https://t.co/rdweiqfXqJ,2016-10-07 01:12:08,
「皮から手作り！　羽根付き餃子」は羽根自体がしっかりと美味しい♪　一口食べれば、豚肉の旨みと、海老の甘みと香りが真っ直ぐに伝わってきます！　東中野・福建家庭料理　旬の香 https://t.co/etrIaS2Szl https://t.co/DQCq9nNXTO,2016-10-07 14:55:37,
「ハヤトウリとサザエの香り炒め」白瓜より深みのある蒼い香りと、しなやかな食感！ コリッコリのサザエとサクサクのハヤトウリは絶妙の相性♪ 東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/ch0FKhNDZh,2016-10-07 14:56:12,
新入荷のシェリー。ボトルの形がスペインにしてはモダンな感じで気に入っています。今日も秋晴れ。過ごしやすい気候でした。乾いた空気に辛口のフィノシェリーを。週末金曜日。連休前だし、良い… https://t.co/YqRp9kGOJ6,2016-10-07 16:56:52,
東中野にマタドガスがあらわれた！1時16分25秒に消滅 #ポケモンGOhttps://t.co/WAMT09DY4V https://t.co/AJ4qgZTIpz,2016-10-08 01:02:03,
「福建のりと玉子のスープ」福建の海苔は川海苔なので、磯臭くありません！　海苔の旨みとまろやかな玉子の風味が溶け合った、穏やかな味わい♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaSktXV https://t.co/ZXmKzidr1Q,2016-10-08 09:43:52,
トマトの柔らかな甘酸っぱさにナンプラー濃厚な旨味！ふんわり玉子のまろやかさが、優しい。。。「福建式トマトと玉子のナンプラー炒め」東中野・福建家庭料理  旬の香 https://t.co/etrIaSktXV https://t.co/8nx9y7fzrN,2016-10-08 09:44:32,
ご馳走！ (@ ミスタードーナツ 東中野ショップ - @misterdonut_jp in 中野区 東京都) https://t.co/Mm1IfaaNNJ https://t.co/Net9azRxEo,2016-10-08 13:29:28,
にいる。 (@ ビストロ de 麺酒場 燿 (ひかる) in 中野区 東京都) https://t.co/8WJDrbKNzj,2016-10-08 21:04:22,
「へちまと豚肉のコク炒め」特製・毛湯と豚肉のコクをたっぷりたたえているから艶やかで奥深いコクを愉しめて、ムッチリ♪ 東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/tN0kwcssxw,2016-10-09 14:16:41,
「麻婆ナス」叩いた豚肉を充分に炒めて、香ばしさと旨みを引き出し。甜麺醤と豆板醤のダブル使用だから辛みとコク、香りが違います♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/GyXhrG5sjX,2016-10-09 14:18:02,
I'm at 麺家 ばく in 中野区 東京都 https://t.co/3LpA60Eyfz,2016-10-09 18:11:50,
いつの間にか日が短くなりました。すでに外は闇に包まれております。連休中日。オープンしております。のんびりと過ごしたい方、お待ちしています〜。#東中野#ワイン#ワインバー @ La… https://t.co/3ozIP8iGAL,2016-10-09 18:12:09,
「チンゲン菜と桜えび炒め」塩かどを抑えた中国醤油を使い、仕上げに黄酒を加えているから、家庭では味わえない艶っぽさ♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/0ne5IPNPjy,2016-10-10 16:18:08,
「黒酢鶏」　本場・鎮江黒酢を使用！香ばしく揚げた若鶏は、程よい酸味と仄かな甘みをたたえ。酢豚には無い上品さ♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/fu1ja6sXk7,2016-10-10 16:18:51,
連休最終日。 肌寒い曇り空ですが、ニュージーランドのリースリングでのんびり過ごしませんか？#東中野#ワイン#ワインバー#ニュージーランドワイン#リースリング#wine#winebar… https://t.co/Z6l7llgnrv,2016-10-10 17:39:03,
I'm at アトレヴィ東中野 in 中野区 東京都 https://t.co/UugUWI3J5P,2016-10-10 21:10:08,
病み上がりそば (@ 富士そば 東中野店 in 中野区 東京都) https://t.co/GKhaZc87Ky,2016-10-11 06:09:55,
「砂肝のスパイシー揚げ」コリッとした食感の後に、香り豊かなスパイス感が拡がる、絶妙おつまみ♪ 東中野・福建家庭料理と創作料理 旬の香 https://t.co/etrIaS2Szl https://t.co/TAZb7S4sGk,2016-10-11 12:30:13,
「福建海鮮あんかけチャーハン」あんかけの常識を大きく覆す、圧倒的な具材の量！　シンプルな玉子チャーハンに海鮮と豚肉の旨みと香り、野菜の甘み♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/H8LTzTWYZI,2016-10-11 12:31:12,
今夜は負けられない闘いがあるので、相手を呑む気持ちで…いや、美味しいですけどね、実際…この後、店内でサッカー日本代表戦、ご覧いただけます〜#東中野#ワイン#ワインバー#オーストラ… https://t.co/AHEZeZ0fMP,2016-10-11 17:32:00,
ヒレだと、200gは少ないなぁー #みさかの肉活 @ いきなりステーキ東中野店 https://t.co/q5w5UEgsxi,2016-10-11 20:01:17,
「くらげと胡瓜の和え物」コリッコリと肉厚くらげがたっぷり！甘酸っぱいだけじゃ無い、お酢の旨みを活かした甘酢和えなので、食べ応え有り♪　東中野・福建家庭料理　 旬の香 https://t.co/etrIaSktXV https://t.co/86mgH0vgfO,2016-10-12 13:00:43,
「空心菜炒め」サクサク！トロッ！と、絶妙の炒め加減！ニンニクのコクと香りを上手に引き出して、空心菜の蒼い香りを引き立てています♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaSktXV https://t.co/GwEDt46DtL,2016-10-12 13:01:27,
暗くなるのもすっかり早くなって、秋らしくなってきました。甘口ワインのバニュルスで、ほっこりのんびりしたいものです。#東中野#ワイン#ワインバー#バニュルス#甘口ワイン#wine#win… https://t.co/3L1RCdxhhF,2016-10-12 17:36:31,
「豆苗炒め」サクサクッと心地良い食感と共に、柔らかなニンニクの香り、毛湯のコクと蒼いチカラが弾けて…みるみるうちに身体が潤ってくるのを実感♪　東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/lMTHkUeT6w,2016-10-13 12:59:11,
「春雨とあさりの辛炒め」春雨は、あさりと豚肉の濃厚な旨み、焦がし唐辛子の心地良い辛味と相まってプルッとウマカラ♪　オススメです！　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/5lfDTQUIDa,2016-10-13 12:59:55,
品切れしていた″茶色系″シェリーが再入荷。秋の気配を感じると、色の濃いお酒が飲みたくなります…#東中野#ワイン#ワインバー#シェリー#オロロソ#ペマルティン#wine#winebar… https://t.co/kA2rUmEg4C,2016-10-13 17:25:36,
「ほうれん草炒め」家庭では真似できない繊細な歯応え！“塩味ひかえめ”“にんにくで香り付け”というシンプルで奥深い福建料理の特長がよく活きたひと品！　東中野・福建家庭料理　旬の香 https://t.co/etrIaS2Szl https://t.co/fjn35aV06U,2016-10-14 13:10:26,
「揚げ豆腐と野菜の豚肉炒め」 豚肉をじっくり炒めて濃厚なコクと旨みを引き出し。店で揚げたフルッフルの香ばしい豆腐は、ほんのり唐辛子がピリリ〜♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/TkcgSiEl51,2016-10-14 13:14:18,
今日はフランスの赤。ヴァントゥは高級ワインを産する地域ではないけれど、コスパの良いワインが多くて好きなエリアです。果実味たっぷり、可愛らしいワインで週末の乾杯を。#東中野#ワイン#ワ… https://t.co/PNmOddGclR,2016-10-14 17:07:34,
ワタリガニのトマトクリームスパ。美味い。 (@ こ卯さぎ亭 in 中野区 東京都) https://t.co/UyQ7Bux4Vf https://t.co/IEm71OCtIb,2016-10-14 23:45:48,
ワタリガニのトマトクリームスパ。美味い。 (@ こ卯さぎ亭 in 中野区 東京都) https://t.co/6uB8etFp76 https://t.co/iMXQM5vCE6,2016-10-14 23:46:55,
I'm at 麺家 ばく in 中野区 東京都 https://t.co/0yLzCtD5nr,2016-10-15 14:26:39,
I'm at 麺家 ばく in 中野区 東京都 w/ @kapapon https://t.co/hsjE6VJlxf,2016-10-15 14:26:55,
チーズを買い足し。ブルーはオーヴェルニュ、ハードはパルミジャーノ24カ月です。この他にもダブルクリームのカプリス デ… https://t.co/mvteBgRswQ,2016-10-15 18:10:34,
「スパイシーピーナッツ」唐辛子の辛みを程よくコーティング♪更に、唐辛子のザク切りと花椒がタップリ！ピリピリッと辛ウマ?イ♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/GSn32ALyxP,2016-10-15 18:31:18,
「福建風　自家製ワンタン」タレとスープの２種類有り。　皮がトゥルッと解れると、豚肉の真っ直ぐな旨みが拡がります♪　東中野・福建家庭料理  旬の香 https://t.co/etrIaS2Szl https://t.co/ltlGRrwo7F,2016-10-15 18:32:10,
「福建　魚団子」鮫のすり身を使った団子の中には、濃厚な旨味の豚挽肉！さっぱりとしたスープも美味しい♪ 東中野・福建家庭料理   旬の香 https://t.co/etrIaS2Szl https://t.co/juljxubk1K,2016-10-17 12:46:12,
「海老チリソース」豆板醤を効かせて、はっきりとした輪郭！　プリプリッとした食感を愉しみながら、エビの甘さと旨みを鮮やか！“おとなの海老チリ”です♪　東中野・福建家庭料理 旬の香 https://t.co/etrIaS2Szl https://t.co/TXYFUbeT7M,2016-10-17 12:46:52,
コンビニで見つけた、柿の種のぶどう山椒味。その名の通り実が大きくぶどうの房の様に実る山椒だそうです。思わず買ってしまいましたが、確かに美味しい。ちょっと動物系のニュアンスのある、スペインの… https://t.co/9YPiLyY1B9,2016-10-17 17:26:31,
I'm at 麺家 ばく in 中野区 東京都 https://t.co/kH0DtXKrtT,2016-10-17 22:30:33,
