新しい月と週の始まりは雨の予感。。今月もマイペースで頑張りましょう〜?#イマソラ #vscocam #vsco #clouds #sky #goodmorning #tokyo… https://t.co/feaGZU6Hd9,2016-08-01 09:11:33,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/soGNxcO61U,2016-08-01 09:26:50,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/ZjUIVf2t2l,2016-08-01 09:49:52,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/NT81o0v44k,2016-08-01 11:04:24,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/JQKJ3k9lSA,2016-08-01 16:41:00,
最近、四ツ谷で座れる率が高い。 (@ 四ツ谷駅 in 新宿区 東京都) https://t.co/Vs0TPOZuva,2016-08-01 20:25:45,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/aDS8Jzopon,2016-08-02 07:06:44,
..くれあちゃんとオープンキャンパス学部の説明オール英語でちんぷんかんぷん〜いっぱい食べていっぱい笑った！ハッピー！#昨日… https://t.co/wVEBFaf2j9,2016-08-02 11:39:50,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/j3gwbFdD4x,2016-08-02 18:00:36,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/CVKoYgk0kf,2016-08-02 18:23:32,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/8jSeiBPTue,2016-08-02 21:47:57,
行き過ぎた (@ 四ツ谷駅 in 新宿区 東京都) https://t.co/OFwxjM2vKS,2016-08-02 22:18:46,
乗り換え (@ 四ツ谷駅 in 新宿区 東京都) https://t.co/OcTAmbwag8,2016-08-03 09:02:14,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/kQqDogv1Gq,2016-08-03 12:39:34,
ここや (@ 四ツ谷駅 in 新宿区 東京都) https://t.co/UEv4YOKDRl,2016-08-03 12:56:17,
いくつや (@ 四ツ谷駅 in 新宿区 東京都) https://t.co/3Qq36dT73C,2016-08-03 13:48:13,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/HTDc6XrQiW,2016-08-03 17:53:41,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/jV6JYJ9Bbq,2016-08-03 18:10:08,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/yFiU91p1oV,2016-08-03 18:44:37,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/AdsqLM6CKz,2016-08-03 19:27:59,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/MqWDY9AOAA,2016-08-04 11:12:00,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/uwqlK3dnN1,2016-08-04 12:13:38,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/wPY8Gunp3H,2016-08-04 12:56:15,
紙コップに書いていただいた心頂戴します。いただきます。#coffee @ スターバックス アトレ 四谷店 https://t.co/ul4bbnbzQa,2016-08-04 14:27:26,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/3m1GdD1tNr,2016-08-04 14:45:36,
I'm at 四ツ谷駅 in 新宿区 東京都 https://t.co/m4naFuCEZP,2016-08-04 17:42:27,
