I'm at 小岩駅 in 江戸川区 東京都 https://t.co/1GeJTYKE1E,2016-08-01 02:08:00,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/LS6SGHtaHW,2016-08-01 06:53:51,
Somewhere in Tokyo @ Koiwa Station https://t.co/uXocDXJpWJ,2016-08-01 07:43:09,
Somewhere in Tokyo @ Koiwa Station https://t.co/pHpufcIGWK,2016-08-01 07:43:48,
I'm at NEWDAYS 小岩店 in 江戸川区 東京都 https://t.co/tSpBtX7Lfi,2016-08-01 08:09:49,
ムシムシしてるなぁ(;;°;ё;°;;) (@ 小岩駅 in 江戸川区 東京都) https://t.co/RsUSmwHzkt,2016-08-01 08:12:21,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/Dh4S5nwKzw,2016-08-01 10:06:59,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/Umz5WA1Ocb,2016-08-01 10:10:28,
小岩 (@ 小岩駅 in 江戸川区 東京都) https://t.co/y0Dvo5VpBL,2016-08-01 14:52:05,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/gUD4KH4Rhl,2016-08-01 17:15:25,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/M7gRxid4sQ,2016-08-01 18:48:56,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/kbnEUZ9PmN,2016-08-01 20:01:01,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/f4eEOWpA85,2016-08-01 22:29:48,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/pdSi79sPhW,2016-08-02 06:52:31,
Somewhere in Tokyo @ Koiwa Station https://t.co/LcJUwkT8W2,2016-08-02 07:52:56,
I'm at NEWDAYS 小岩店 in 江戸川区 東京都 https://t.co/7WILyRqwYJ,2016-08-02 09:52:13,
夜中の豪雨で目が覚めたけど、いつも通りに起きて、二度寝したらギリギリ(=_=) (@ 小岩駅 in 江戸川区 東京都) https://t.co/N8JsreUIdf,2016-08-02 09:55:09,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/nbwwYo6uMs,2016-08-02 10:11:47,
I'm at 小岩駅 バスターミナル in 江戸川区 東京都 https://t.co/JZvNPc1fU1,2016-08-02 10:11:56,
I'm at 小岩駅 in 江戸川区 東京都 https://t.co/EahXaA72yK,2016-08-02 13:46:48,
I'm at シャポー小岩 in 江戸川区 東京都 https://t.co/Ws7Iwa8Tyb,2016-08-02 13:47:11,
