I'm at NEWDAYS 西千葉 in 千葉市 千葉県 https://t.co/floy8FUf8w,2016-08-01 11:49:47,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/mehITfv0y3,2016-08-01 11:49:55,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/LdFeykOlD1,2016-08-01 17:28:04,
今日の,2016-08-01 17:53:45,
I'm at 鍛冶屋 文蔵 西千葉店 in 千葉市 千葉県 https://t.co/33RHCIxepD,2016-08-01 18:48:52,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/BzdiEFpXvn,2016-08-02 14:07:50,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/fgYjE3eiFN,2016-08-03 12:02:13,
こんにちわ (@ コンニチワ イタリアンデリ ペリエ西千葉店 in 千葉市 千葉県) https://t.co/pcytv8cqiK,2016-08-03 12:02:28,
最後の田舎 (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/JJ4sHBgWqG,2016-08-03 12:53:48,
I'm at ペリエ西千葉 in 千葉市 千葉県 https://t.co/j9SavwfABd,2016-08-03 12:55:17,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/7ODEHCFC3o,2016-08-04 15:16:27,
幕張向かいまっか (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/pc6y15K6jT,2016-08-04 17:41:54,
田舎やん (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/FmcPwA1Hlq,2016-08-05 09:45:50,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/4o2ttFxUGM,2016-08-05 11:07:28,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/iJic3FAGPS,2016-08-05 11:54:22,
毎度お馴染み流浪の人間悠語楼です (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/SQ662A0gVc,2016-08-06 12:47:28,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/nWuIIkxcM1,2016-08-06 12:52:08,
I'm at コンニチワ イタリアンデリ ペリエ西千葉店 in 千葉市 千葉県 https://t.co/vRmyvJqBRt,2016-08-06 13:10:03,
ひかり組パパ会? ♪♪ / (@ 鍛冶屋 文蔵 西千葉店 in 千葉市 千葉県) https://t.co/2NRRL3BOfO,2016-08-06 17:54:23,
思わず… @ Nishi-Chiba Station https://t.co/MmdU4DT1Tq,2016-08-08 18:48:35,
クッソ暑い中をずどーんと成田エクスプレス。 @ Nishi-Chiba Station https://t.co/7jfHamTZ0M,2016-08-09 15:57:23,
塾が消しゴム配ってた (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/C2kIR5VPcm https://t.co/APslZIErx4,2016-08-10 09:30:01,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/yLVtM4pFvl,2016-10-07 17:48:30,
昨日のねぎ！来てくれてありがとうー( ? ?ω??  )?そして本当にハーゲンダッツ買いに行って戻ってきてくれたっていう優男、、、,2016-10-07 22:21:11,
そして昨日のあかりちゃん?ピンクのハイライトいれた( ? ?ω??  )?ありがとうね〜〜！！ @ Nishi-Chiba Station https://t.co/jEBI0J1rqy,2016-10-07 22:22:38,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/V9kOunSA2K,2016-10-08 09:32:07,
I'm at カルディコーヒーファーム 西千葉 in 千葉市中央区 千葉県 https://t.co/M9wlgjZtEN,2016-10-08 09:32:31,
サンラータンうどん #はなまる #870udon #うどん @ Nishi-Chiba Station https://t.co/r9uHmNB5Qm,2016-10-08 13:13:15,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/QzP6sUxll1,2016-10-09 21:42:31,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/y7Vrd6Bbk5,2016-10-10 10:13:00,
にしち↑ばぁ (@ 西千葉駅 in Chiba 千葉県) https://t.co/P8LataiCCi,2016-10-10 18:26:38,
I'm at 西千葉駅 1-2番線ホーム in 千葉市 千葉県 https://t.co/Wd4TsrS4tH,2016-10-11 08:37:22,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/zjEpxoMvTS,2016-10-11 08:37:30,
I'm at NEWDAYS 西千葉 in 千葉市 千葉県 https://t.co/xhA8TS2hxF,2016-10-11 10:26:57,
I'm at 西千葉駅 in Chiba 千葉県 w/ @mina_akagi https://t.co/t348AoQTKE,2016-10-11 10:27:04,
I'm at ペリエ西千葉 in 千葉市 千葉県 https://t.co/aTmc2qKr9f,2016-10-11 21:17:58,
I'm at 西千葉駅 1-2番線ホーム in 千葉市 千葉県 https://t.co/FdEeZ07YlU,2016-10-12 10:15:53,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/G70joBDtxX,2016-10-12 10:16:02,
I'm at NEWDAYS 西千葉 in 千葉市 千葉県 https://t.co/Fk2U9XmZad,2016-10-12 10:17:22,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/5TSb4iKXdS,2016-10-12 10:17:39,
武蔵家のはずがパスタになったーー( ･×･)#こんにちは #美味しいパスタ #みなみの持ちネタ #Oct12 @ Konnichiwa今日和 https://t.co/C0h1Wi0zhi,2016-10-12 13:22:11,
帰る (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/p5jkeYsuwX,2016-10-12 17:41:01,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/mHqkrycul5,2016-10-13 09:57:58,
安定の遅延 (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/zfT1rZZq9p,2016-10-13 12:49:25,
現金補給なお口座残高0 (@ NEWDAYS 西千葉 in 千葉市 千葉県) https://t.co/mdXEMoPVO4,2016-10-13 16:28:21,
牛肉温玉ぶっかけ #はなまる #870udn #うどん @ 西千葉駅 https://t.co/I0tfLm4juZ,2016-10-14 11:37:18,
着 (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/ApU7lH5FjH,2016-10-17 08:13:25,
ようやく… (@ 西千葉駅 - @jreast_official in Chiba 千葉県 w/ @mina_akagi) https://t.co/R3pwZ1ZDpd,2016-10-17 08:53:20,
秋葉原から実質70分 (@ 西千葉駅 in Chiba 千葉県 w/ @mina_akagi) https://t.co/iXVSt5gooJ,2016-10-17 11:03:33,
カス (@ 西千葉駅 - @jreast_official in Chiba 千葉県) https://t.co/GCkw5P7wFB,2016-10-17 12:25:05,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/msBLr75qQu,2016-10-17 18:00:08,
I'm at NEWDAYS 西千葉 in 千葉市 千葉県 https://t.co/8CJ4bg2LM6,2016-10-17 19:10:20,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/016nBRyMfX,2016-10-18 07:56:50,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/NzIYYKOVkl,2016-10-18 08:42:21,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/vhZsm8rHre,2016-10-18 10:10:49,
I'm at 西千葉駅 in Chiba 千葉県 https://t.co/ePCeRkYkvN,2016-10-19 10:08:23,
I'm at NEWDAYS 西千葉 in 千葉市 千葉県 https://t.co/HmrZklfpEp,2016-10-19 10:08:31,
I'm at 西千葉駅 1-2番線ホーム in 千葉市 千葉県 https://t.co/DaLhS54i1K,2016-10-19 10:15:20,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 w/ @mina_akagi https://t.co/7mqzv1WhVe,2016-10-19 10:15:35,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/sh5Ei2aXgu,2016-10-19 17:22:47,
I'm at ペリエ西千葉 in 千葉市 千葉県 https://t.co/gYejq9FJIR,2016-10-19 18:38:08,
旧型駅名標 (@ 西千葉駅 in Chiba 千葉県) https://t.co/87hA3IuYaC https://t.co/b9tCJ5LBAE,2016-10-19 18:41:22,
乗車口の前は広く開けろって… (@ 西千葉駅 in Chiba 千葉県 w/ @mina_akagi) https://t.co/3OqSsk0jSn,2016-10-20 10:09:16,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/e0XVObvJn6,2016-10-20 12:42:29,
I'm at 酒菜や 加トちゃん in Chiba Chiba-ken https://t.co/AIdoVKxnpS,2016-10-20 18:18:35,
りっさ (@ 西千葉駅 - @jreast_official in Chiba 千葉県 w/ @um_risa_) https://t.co/oBAqW6MbpN,2016-10-21 08:07:08,
I'm at Nishi-Chiba Station - @jreast_official in Chiba 千葉県 https://t.co/p22OwBn6vM,2016-10-23 15:23:38,
I'm at 西千葉駅 1-2番線ホーム in 千葉市 千葉県 https://t.co/C45N65Nsln,2016-10-24 08:38:04,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 w/ @mina_akagi https://t.co/c7sPpDf3Sx,2016-10-24 08:38:15,
I'm at 西千葉駅 in Chiba 千葉県 w/ @mina_akagi https://t.co/8GfFO0VSdC,2016-10-24 10:06:57,
I'm at 西千葉駅 - @jreast_official in Chiba 千葉県 https://t.co/Y2O6inpp8f,2016-10-25 08:38:27,
I'm at ペリエ西千葉 in 千葉市 千葉県 https://t.co/GMXM5jlYJp,2016-10-25 08:38:57,
