I'm at JR 中央線 立川駅 in 立川市 東京都 https://t.co/TuwAXLRc9s,2016-08-01 00:39:14,
夜の立川キレイ @ Tachikawa Station https://t.co/OmBbYbI0ru,2016-08-01 05:26:50,
6:26中央ライナー2号東京行き (@ 立川駅 in 立川市 東京都) https://t.co/uliEnNKYAV,2016-08-01 06:20:55,
I'm at JR 中央線 立川駅 in 立川市 東京都 https://t.co/N38FXiuAG9,2016-08-01 07:17:47,
あずさ1号に乗りました！お席に着いたらなんと！お隣はマチコちゃんでした！いびきかいたら起こしてね！とお願いしましたおやすみなさい！ (@ 立川駅 in 立川市 東京都) https://t.co/BetXajV8Du https://t.co/1hidTbpNJZ,2016-08-01 07:26:16,
前を歩いてるおばちゃん達がノロノロしてたので42発間に合わなかったんだけど、ご近所(？)のテカ男さん(仮称)も間に合ってなかったので仕方ないのだと思う。 (@ 立川駅 in 立川市 東京都) https://t.co/CzQ7MF385C,2016-08-01 08:44:56,
あれ？雨降るんだっけ？？？ (@ 立川駅 in 立川市 東京都) https://t.co/4mDEHJwXEJ,2016-08-01 09:05:16,
立川駅、新しい改札の工事も終わってるみたいで今週中のオープンが楽しみ！会社に行く道が近くなります(^^) @ Tachikawa Station https://t.co/zNI2l2vyok,2016-08-01 09:15:54,
I'm at 立川駅 in 立川市 東京都 https://t.co/NU7cgeTBe2,2016-08-01 09:42:53,
上向くのも大切だと思うけど足もとしっかり見てるのも大切だと思う。今日から8月。明日からテスト。駅にはパリピがたくさん。とりあえずレトロな格好。#drmartens #8月… https://t.co/3wOXeMDzAR,2016-08-01 09:55:19,
I'm at 立川駅 in 立川市 東京都 https://t.co/EayYfziDKO,2016-08-01 10:23:44,
I'm at 立川駅 in 立川市 東京都 https://t.co/ESHiM9dp83,2016-08-01 11:19:52,
I'm at 立川駅 in 立川市 東京都 https://t.co/G6zSQ2AgK4,2016-08-01 12:02:40,
！w (@ 立川駅 in 立川市 東京都 w/ @pta3kkrtta3) https://t.co/xaZJHNu3AK,2016-08-01 12:12:52,
I'm at 立川駅 in 立川市 東京都 https://t.co/5L46sVSSwO,2016-08-01 12:36:15,
I'm at BECK'S Coffee Shop 立川店 in 立川市 東京都 https://t.co/UaFyUUlNq3,2016-08-01 13:15:59,
I'm at 立川駅 in 立川市 東京都 https://t.co/2CoeiTV1FI,2016-08-01 13:47:55,
I'm at 立川駅 in 立川市 東京都 https://t.co/8FoDPPGPlI,2016-08-01 17:09:15,
さ、あの跡地どうなったんだろ。 (@ JR 中央線 立川駅 in 立川市 東京都) https://t.co/pByXjOR57W,2016-08-01 17:21:55,
立川JXタキ止まってた。これで宇都宮まで帰るか…（ @ JR立川駅 https://t.co/Zc8PgkN1rp,2016-08-01 17:23:24,
人身事故のせいでいつもの普通列車がない。まじめに八王子より西へ行くのに。 (@ 立川駅 in 立川市 東京都) https://t.co/mevck7Dtg0,2016-08-01 17:33:52,
ビーモのポーチ買った！！！！#adventuretime #BMO #villagevanguard @… https://t.co/eAoLXL11Tq,2016-08-01 18:25:44,
I'm at 立川駅 in 立川市 東京都 https://t.co/24dYO9l5JT,2016-08-01 18:52:19,
I'm at 立川駅 in 立川市 東京都 https://t.co/FFbfrpUlMx,2016-08-01 19:08:26,
I'm at 立川駅 in 立川市 東京都 https://t.co/PVfqIhENDE,2016-08-01 20:33:42,
I'm at 立川駅 in 立川市 東京都 https://t.co/vIAKSbn2zc,2016-08-01 20:40:48,
雨が降っていたのですね (@ 立川駅 in 立川市 東京都) https://t.co/kdNDHvblSb,2016-08-01 21:12:09,
I'm at JR 中央線 立川駅 in 立川市 東京都 https://t.co/oDNxEBlXMk,2016-08-01 22:51:04,
I'm at 立川駅 in 立川市 東京都 https://t.co/789JNZPHUQ,2016-08-01 23:22:51,
ムーンライト信州へ (@ 立川駅 in 立川市 東京都) https://t.co/APlRJW9vBZ,2016-08-01 23:58:47,
I'm at JR 中央線 立川駅 in 立川市 東京都 https://t.co/Pbyg38wXXz,2016-08-02 00:02:09,
I'm at 立川駅 in 立川市 東京都 https://t.co/PmkOSPlf1b,2016-08-02 05:56:12,
I'm at 立川駅 in 立川市 東京都 https://t.co/3ujDT3KP8x,2016-08-02 06:36:27,
I'm at 立川駅 in 立川市 東京都 w/ @hk0803llfe https://t.co/KmkkmvwiTG,2016-08-02 07:02:52,
I'm at JR 中央線 立川駅 in 立川市 東京都 https://t.co/PIzKWoHcxy,2016-08-02 07:17:27,
I'm at 立川駅 in 立川市 東京都 https://t.co/i0lJE7AGMP,2016-08-02 07:45:13,
I'm at 立川駅 in 立川市 東京都 https://t.co/r23706EbLp,2016-08-02 08:14:28,
乗り換え,2016-08-02 08:15:40,
I'm at 立川駅 in 立川市 東京都 https://t.co/8YvbEpNBUn,2016-08-02 08:15:55,
あぢーーー。ギリギリ落ちないくらいでスタート。 (@ 立川駅 in 立川市 東京都) https://t.co/TRWA4CxP7K,2016-08-02 08:42:56,
I'm at JR 中央線 立川駅 in 立川市 東京都 https://t.co/9six148xFf,2016-08-02 08:48:36,
