I'm at 青梅駅 in 青梅市 東京都 https://t.co/ZuQlfSh3yg,2016-08-01 11:52:12,
@mi3sa3to10n @Mayumi_mmm あっそう、でも、ランドセル可愛いよなぁ,2016-08-01 12:39:58,
@ayu_19980408 @Hermes_Paris あっ隠し子か、うふふ?♪ヽ(´▽｀)/いいねぇ?,2016-08-01 12:41:40,
@piyoteji こんにちは?,2016-08-01 12:42:05,
@karaage_mayu まだ、まゆゆが生まれる前に八月のとある一日を題材にした、青春映画があったなぁ(  ＾∀＾),2016-08-01 12:45:48,
I'm at 青梅駅 in 青梅市 東京都 w/ @futti_kinmosa @pta3kkrtta3 https://t.co/3bCqYWrTxk,2016-08-01 15:16:06,
I'm at 青梅駅 in 青梅市 東京都 https://t.co/xPhtPcpgNr,2016-08-01 20:14:40,
I'm at CROCERISTA in 青梅市 東京都 https://t.co/12FG0x8ecX,2016-08-01 20:14:48,
オフ満喫！楽しかったー！今年最初で最後の夏休み学年会かな？まだはじまったばかり！みんなで協力しあって乗りこえよう！#青梅 #bbq #青学サッカー #学年会 #夏休み #off @ 青梅 https://t.co/qjHpdxMHWY,2016-08-01 23:22:27,
I'm at 青梅駅 in 青梅市 東京都 https://t.co/3WSglz9DbX,2016-08-02 11:15:12,
@yuka_masuda お誕生日おめでとう(*^▽^)/★*☆♪( ^-^)ノ∠※。.:*:・'°☆（*＾3＾）/?☆?♪ヽ(´▽｀)/,2016-08-03 06:56:34,
I'm at 青梅駅 in 青梅市 東京都 https://t.co/U4zQT15Efc,2016-08-03 11:39:55,
I'm at 青梅駅 in 青梅市 東京都 https://t.co/bFCVRT261z,2016-08-03 12:10:24,
#housevision2 @ 青梅 https://t.co/pTSqgZx2vA,2016-08-04 18:02:05,
とりあえずここまで来た。 @ JR青梅駅 https://t.co/V6Jq9DtigI,2016-08-05 13:13:16,
I'm at 青梅駅 in 青梅市 東京都 https://t.co/Ty027QNtVM,2016-08-06 09:10:40,
ばらモツ煮とビール?青梅納涼花火大会,2016-08-06 17:56:57,
花火大会を背にして帰る (@ 青梅駅 in 青梅市 東京都) https://t.co/oQd12IBRdU,2016-08-06 18:09:41,
I'm at ?me Station in 青梅市 東京都 https://t.co/ICr4iDpM1H,2016-08-06 18:17:36,
昨日は福生まつりからの青梅花火でしたよん#青梅花火大会 #花火 @ 青梅 https://t.co/fOQ4uKPkre,2016-08-07 10:51:31,
