I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/HlzZ6RuKNN,2016-08-01 20:32:45,
ZEROの塩ちゃんと東京メトロ版仮面ライダースタンプラリー、全35駅コンプリートしました。ゴールは王子駅。JRのウルトラマンの半分の量なれど、路線の少なさ、景色がずっと灰色と白、スタンプ台が… https://t.co/FCQCfWInho,2016-08-02 16:50:50,
突然お遣い頼まれたもんで。 (@ JR 王子駅 - @jreast_official in 北区 東京都) https://t.co/VDoHAi7keY https://t.co/KRtHDCM2HB,2016-08-02 19:54:09,
飛鳥山公園が花吹雪 (@ JR 王子駅 in 北区 東京都) https://t.co/hQOPPgI1CB https://t.co/9nr73FDIr6,2016-08-02 20:28:46,
一旦休憩……つかれた (@ 王子駅前停留場 in 北区 東京都) https://t.co/Re4mJtZgB7,2016-08-03 12:41:36,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/VgnAdJJj7T,2016-08-03 14:34:51,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/sCQREHMJRk,2016-08-03 15:28:32,
荒川線に乗って @ 王子駅 https://t.co/eR3rnrddaF,2016-08-04 17:57:46,
帰り道 @ ?ji Station https://t.co/XabC1PTLJZ,2016-08-04 18:40:15,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/9pwKLXqZES,2016-08-05 19:17:58,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/VsQdhB8vWa,2016-08-05 22:34:55,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/PJhaNncgyp,2016-08-06 05:53:02,
I'm at 王子駅前停留場 in 北区 東京都 https://t.co/yvh3y1DiTA,2016-08-06 11:16:08,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/okoALs7VDA,2016-08-06 17:20:56,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/eSjAAVfEXI,2016-08-06 22:34:35,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/X8ZpR2bYyy,2016-08-07 10:05:26,
本日は王子で仕事。前回果たせなかった飛鳥山の謎モノレールに乗るべく張り切って来たけど、16時までだった(;つД｀)…尚、飛鳥山はポケモンの巣なので人だらけ…それを横目で見つつ（己もGOしつつw）… https://t.co/gW4UwjmhkI,2016-08-08 18:16:56,
黒猫が落ちているwそんな夕暮れ(*´-`)扇屋さんで厚焼き玉子買って、本日は帰ります。そして明日も王子仕事。 @ ?ji Station https://t.co/e6EdozkKgh,2016-08-08 18:45:50,
I'm at JR 王子駅 - @jreast_official in 北区 東京都 https://t.co/X4R51Y9mXQ,2016-08-09 18:06:14,
帰り道 @ ?ji Station https://t.co/X1I2tRoA5P,2016-08-09 18:33:04,
