I'm at 久地駅 in 川崎市 神奈川県 https://t.co/2O8d48F87R,2016-08-04 16:18:43,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/KkB2Uo5Yyl,2016-08-05 17:42:16,
午前9時です。 (@ 久地駅 in 川崎市 神奈川県) https://t.co/12RNcTvNtQ,2016-08-11 09:08:20,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/83NcVvuzeq,2016-10-06 23:32:40,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/b7QiXnPh4z,2016-10-07 16:35:10,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/JFkwarvO1G,2016-10-07 17:27:46,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/6e90ON5MIP,2016-10-07 20:15:27,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/HKpcz4637a,2016-10-07 22:35:17,
12時です。 (@ 久地駅 in 川崎市 神奈川県) https://t.co/etnLajL9C9,2016-10-08 12:48:05,
8:30だけどくじ (@ 久地駅 in 川崎市 神奈川県) https://t.co/wvWvQ2RQBi,2016-10-09 08:31:27,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/xZ2ctx1PSK,2016-10-09 10:39:26,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/a2gEwneja0,2016-10-10 09:27:49,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/Py41jeDCPm,2016-10-10 11:06:51,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/cSb9QnRgHA,2016-10-10 20:52:56,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/HIlRFALkbE,2016-10-12 08:29:54,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/APEZKDIBiR,2016-10-12 11:18:19,
早めについちまった (@ 久地駅 in 川崎市 神奈川県) https://t.co/7tKWasvpNl,2016-10-12 23:20:10,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/XkKj8IbqD0,2016-10-13 08:08:54,
三陸鉄道！あまちゃんだなー。#三陸鉄道 #ローカル線 @ Kuji Station https://t.co/fIfgfCNoqh,2016-10-13 13:15:20,
23時45分,2016-10-17 23:45:47,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/nsiS0YgQcc,2016-10-19 22:41:17,
九時前に久地('ω') (@ 久地駅 in 川崎市 神奈川県) https://t.co/Ea82piNC03,2016-10-21 20:50:13,
だから久地ちゃうわ (@ 久地駅 in 川崎市 神奈川県) https://t.co/cZJnb5Y4xX,2016-10-24 17:04:04,
地味過ぎる久地w (@ 久地駅 in 川崎市 神奈川県) https://t.co/SDwE7Imjk9,2016-10-29 11:22:01,
八時半 (@ 久地駅 in 川崎市 神奈川県) https://t.co/xnkGZdploI,2016-10-31 08:31:07,
I'm at 久地駅 in 川崎市 神奈川県 https://t.co/7DjmkYJv2q,2016-10-31 13:27:23,
営業まわり (@ 久地駅 in 川崎市 神奈川県) https://t.co/ystvxvhqNG,2016-10-31 15:23:28,
