Itabashi new fountain is so cool!!!!!! @ Itabashi Station https://t.co/zeyZrELkx5,2016-08-02 10:43:30,
暇な海焼けしまくってる2人で近所の100円居酒屋で飲んでます@板橋秋刀魚めちゃくちゃ美味。 @ Itabashi Station https://t.co/53Jw4VLna8,2016-08-02 18:56:28,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/tlFZPlaiho,2016-08-02 19:49:08,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/iZwHNXiXmC,2016-08-02 23:31:32,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/nBUZPE0Fab,2016-08-03 18:22:18,
メガウェブに向かう（? ?? ?）? (@ 板橋駅 - @jreast_official in 板橋区 東京都) https://t.co/iKgVzZ1smB,2016-08-04 11:28:09,
モナドアーツ 板橋 (@ 板橋駅 - @jreast_official in 板橋区 東京都) https://t.co/EwfRqmnkqh,2016-08-04 13:46:18,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/BrlrdhU7Zc,2016-08-04 21:46:03,
Banqiao station (@ 板橋駅 - @jreast_official in 板橋区 東京都) https://t.co/fWSaIk9PWz,2016-08-05 08:41:05,
I'm at 馬の串ん in Kita T?ky?-to https://t.co/SzsTFf4cUx,2016-08-05 23:42:22,
I'm at 板橋駅 in 板橋区 東京都 https://t.co/8I6hon90CJ,2016-08-06 07:31:29,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/LVJFgEW6F9,2016-08-06 13:59:53,
実家まで走って帰ろうと思ったけど暑過ぎて池袋付近で途中リタイヤ。水風呂探して板橋駅に流れ着いたら、今日は花火大会だそうな。夏ですね。 @ Itabashi Station https://t.co/pRSLogCztN,2016-08-06 17:55:58,
二次会 (@ 馬の串ん in Kita T?ky?-to) https://t.co/A2f0JrXaUr,2016-08-06 20:42:33,
I'm at 馬の串ん in Kita T?ky?-to https://t.co/vMmEj4JdDU,2016-08-07 19:46:20,
I'm at 馬の串ん in Kita T?ky?-to https://t.co/2SlxDt6lEN,2016-08-07 20:33:38,
I'm at 馬の串ん in Kita T?ky?-to w/ @mikuru_felicita https://t.co/TXH4eJf2el,2016-08-07 22:11:31,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/X07yR6FF0R,2016-10-06 18:20:45,
今日は反対側の改札から (@ 板橋駅 - @jreast_official in 板橋区 東京都) https://t.co/XJLWAyM1nJ,2016-10-07 08:23:02,
I'm at 麺屋 ほたる in 北区 東京都 https://t.co/Dgg6toBuEy,2016-10-07 11:39:27,
I'm at 板橋駅 - @jreast_official in 板橋区 東京都 https://t.co/01VuF8RW1T,2016-10-07 15:21:08,
I'm at 板橋駅 in 板橋区 東京都 https://t.co/LUTPjCV4QG,2016-10-07 17:05:23,
