I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/EeH9QQlraS,2016-08-03 08:01:30,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/Yua0F4QFUA,2016-08-03 10:19:02,
I'm at 藤代駅 in 取手市 茨城県 https://t.co/ByDwUpcpad,2016-08-03 13:13:53,
通過 (@ 藤代駅 - @jreast_official in 取手市 茨城県) https://t.co/EQXQMVfLWG,2016-08-07 10:04:23,
藤城リエ (@ 藤代駅 - @jreast_official in 取手市 茨城県) https://t.co/lY3TdbDq8c,2016-08-10 14:07:51,
現地調査 (@ 藤代駅 in 取手市 茨城県) https://t.co/eFqlbLVmAY,2016-10-08 12:40:26,
い つ も の (@ 藤代駅 - @jreast_official in 取手市 茨城県) https://t.co/3rfhd7D9PX,2016-10-08 19:04:25,
めっちゃ雨ふっててブチ切れてる (@ 藤代駅 in 取手市 茨城県) https://t.co/UOKoJUiGwY,2016-10-09 08:18:05,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/A3sJHNz8Um,2016-10-10 00:28:59,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/rxC0XZl4cJ,2016-10-10 02:10:32,
待ってここどこ！？ (@ 藤代駅 in 取手市 茨城県) https://t.co/nbM8jie4qH,2016-10-10 08:48:03,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/jp6dXz7dQ8,2016-10-15 15:42:03,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/mBik6RTUGt,2016-10-22 20:18:16,
@nzm690 ジャンプフローターサーブ打てるやつよりもやってること地味だけど目立ってる（笑）,2016-10-25 12:52:00,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/DpoWNs5yOo,2016-10-26 10:18:30,
離脱 (@ 藤代駅 - @jreast_official in 取手市 茨城県) https://t.co/cXOOVV56Qh,2016-10-26 13:04:55,
I'm at 藤代駅 - @jreast_official in 取手市 茨城県 https://t.co/AVN6dgpsI6,2016-10-29 09:36:48,
