日差しが遮られると風は涼しい おはようございます @ Sanuki Station https://t.co/EeSDKekcqQ,2016-08-01 08:43:43,
雲が踊ってる♪ @ 常磐線佐貫駅 https://t.co/FKmwaCRUm3,2016-08-02 18:11:34,
I'm at 佐貫駅 in 龍ケ崎市 茨城県 https://t.co/aFusOeBDl5,2016-08-03 10:15:49,
I'm at 佐貫駅 in 龍ケ崎市 茨城県 https://t.co/GCM7UxlLxr,2016-08-05 09:47:03,
I'm at 佐貫駅 in 龍ケ崎市 茨城県 https://t.co/rvOWDE7l4r,2016-08-05 18:30:07,
I'm at 佐貫駅 in 龍ケ崎市 茨城県 https://t.co/C4smHMIDuI,2016-08-05 21:41:49,
I'm at 佐貫駅 in 龍ケ崎市 茨城県 https://t.co/sZWzpXp0Zc,2016-08-05 23:03:19,
横須賀サマーフェスタの朝は早い (@ JR 佐貫駅 - @jreast_official in 龍ケ崎市 茨城県) https://t.co/MFlCxGtMpQ,2016-08-06 06:58:07,
うどん (@ JR 佐貫駅 in 龍ケ崎市 茨城県) https://t.co/qWVK61FLTc,2016-08-06 10:59:21,
I'm at JR 佐貫駅 - @jreast_official in 龍ケ崎市 茨城県 https://t.co/Fb9FPeMAli,2016-08-06 11:51:54,
肉眼では右に木星も見えてまふ(^^;; @ Sanuki Station https://t.co/JFDsDHTZzq,2016-08-06 19:08:42,
駅売店に手書きの4コマ漫画！(◎_◎;) @ 常磐線佐貫駅 https://t.co/c0MYY6nJmo,2016-08-07 08:22:14,
はい。佐貫駅。関東鉄道龍ケ崎線も佐貫駅。どうも、JR竜ヶ崎駅にしようとかなんとかいう話もあるそうですね。 #常磐線ウォーキング #龍ケ崎散策 (@ JR 佐貫駅) https://t.co/xefXC2nIWm https://t.co/0uXL6zKlpO,2016-08-07 09:21:14,
茨城やったぜ#ポケモンゲットだぜ @ Sanuki Station https://t.co/86af67CNpO,2016-08-07 09:26:57,
