乗り換え。 (@ 渋谷駅 in 渋谷区 東京都) https://t.co/c4LBb0dsf9,2016-08-01 00:06:23,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/NxjuZz1vpH,2016-08-01 06:48:16,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/Cx09Wxo54v,2016-08-01 07:03:08,
I'm at 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都 https://t.co/LGxojUJ3WY,2016-08-01 07:03:30,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/fnwLVen5iC,2016-08-01 07:09:52,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/46QDxAYe1K,2016-08-01 07:11:18,
JR山手線 外回り うそやろこんな空いてるのかこの時間帯の外回り (@ 渋谷駅 in 渋谷区 東京都) https://t.co/slJCAUMJgW,2016-08-01 07:28:26,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/1Q5YLrfIyz,2016-08-01 08:21:20,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/81dhStz3yQ,2016-08-01 08:28:26,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/G728iEecSk,2016-08-01 08:38:30,
I'm at Shibuya Station in 渋谷区 東京都 https://t.co/adIupszBrl,2016-08-01 08:54:28,
I'm at JR 渋谷駅 2番線ホーム - @jreast_official in Shibuya 東京都 https://t.co/WF0uNLjsJp,2016-08-01 09:16:50,
I'm at JR 渋谷駅 2番線ホーム in Shibuya 東京都 https://t.co/PDoCMxNphU,2016-08-01 09:23:05,
I'm at Shibuya Station in 渋谷区 東京都 https://t.co/NrqkA3qbkX,2016-08-01 09:31:26,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/mb2KIbZJ9k,2016-08-01 09:47:45,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/lwXuvVvmVq,2016-08-01 09:50:48,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/VNVg1pTr56,2016-08-01 09:52:11,
京王多摩センター駅で発売中、のポスター。　#サンリオ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/K1V0lr37DP https://t.co/Ru76hB0VwH,2016-08-01 09:53:40,
109 (@ 渋谷駅 in 渋谷区 東京都) https://t.co/rDfCRPwo8b,2016-08-01 10:12:21,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/VYlHWSX17b,2016-08-01 10:23:12,
I'm at Shibuya Station in 渋谷区 東京都 https://t.co/rO4xeUeTys,2016-08-01 10:57:14,
I'm at JR 山手線 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/3DGm0qSoNA,2016-08-01 10:58:13,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/WygLRk3vje,2016-08-01 11:02:10,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/UupHou929O,2016-08-01 11:09:21,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/atyvYfRyaD,2016-08-01 11:27:54,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/XMUCskIcCa https://t.co/Cv1DkAiwFU,2016-08-01 11:38:30,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/XMUCskIcCa https://t.co/EPPUtnMKM8,2016-08-01 11:38:32,
ぶや〜,2016-08-01 11:44:17,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/CWbPC7z212,2016-08-01 11:51:29,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @meikariri https://t.co/B1rlHyCsyU,2016-08-01 11:58:48,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/BCngMVhbac,2016-08-01 12:05:47,
乗り換え。 (@ 渋谷駅 in 渋谷区 東京都) https://t.co/edYTUPBOSj,2016-08-01 12:19:17,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/hVriG4Kb2l,2016-08-01 12:25:32,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/eYrT9RrfZq,2016-08-01 12:25:44,
I'm at 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都 https://t.co/0ZIoflcpCy,2016-08-01 12:28:26,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/Epjyl6MoQi,2016-08-01 12:29:11,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/HTj4R8Qjtt,2016-08-01 12:31:54,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/jNQRSdQ9nQ,2016-08-01 12:36:15,
I'm at 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都 https://t.co/sR0CPIMTSU,2016-08-01 12:36:36,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/0acwzaaf6k,2016-08-01 12:44:23,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/e9otPc4ksM,2016-08-01 12:45:15,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/7AyxZCFb5C,2016-08-01 12:59:41,
松濤ケーキ美味しいよー,2016-08-01 13:03:41,
帽子を手に入れた！ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/eyo5G8Vvo5,2016-08-01 13:06:15,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/G5Kpen13iX,2016-08-01 13:33:11,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @sg_g9 https://t.co/O9LMXTsYnF,2016-08-01 13:35:31,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/OCkIPbS9SZ,2016-08-01 13:43:14,
着弾 (@ 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都) https://t.co/jWzsSdawGL,2016-08-01 14:01:24,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/YMxG9sLPVA,2016-08-01 14:01:38,
I'm at 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都 https://t.co/dynU8RQ7Ye,2016-08-01 14:02:04,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/oNKekDgUCr,2016-08-01 14:15:50,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/d012QMbdp2,2016-08-01 14:21:33,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/r9p2XZp3q9 https://t.co/dcGlcEY988,2016-08-01 14:25:20,
しぶやりん (@ 渋谷駅 in 渋谷区 東京都) https://t.co/lyuIyBpcWn,2016-08-01 14:25:28,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/nx4hBrOhkx,2016-08-01 14:26:00,
(●´ω`●) (@ 渋谷駅 in 渋谷区 東京都) https://t.co/eyfc7TRlkw,2016-08-01 14:32:01,
I'm at JR 渋谷駅 in 渋谷区 東京都 https://t.co/LSrMbUU2Nd,2016-08-01 14:33:33,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/J3h1ZnCIec,2016-08-01 15:12:19,
?????? ??? (@ Shibuya Station in 渋谷区 東京都) https://t.co/NJ6CWSWfEZ,2016-08-01 15:16:13,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/OdKIva28EZ,2016-08-01 15:16:39,
新しい学校のリーダーズ (@ JR 渋谷駅 - @jreast_official in 渋谷区 東京都) https://t.co/gCegyUQYiC,2016-08-01 15:18:01,
人が割と少ない (@ 渋谷駅 in 渋谷区 東京都) https://t.co/OKCm2NnrJx,2016-08-01 15:19:33,
ブヤ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/w4VY9OU0Sd,2016-08-01 15:26:17,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/FxUHbZgMED,2016-08-01 15:27:26,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/xtF5ryeo9u,2016-08-01 15:44:54,
かなこおれだー (@ 渋谷駅 in 渋谷区 東京都) https://t.co/3zIODJgepW,2016-08-01 15:55:37,
人多すぎキライ (@ 渋谷駅 in 渋谷区 東京都 w/ @_cruc1al) https://t.co/Wr11eBdPaX,2016-08-01 15:57:05,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/HVEQNtU0I8,2016-08-01 15:57:47,
I'm at JR 渋谷駅 in 渋谷区 東京都 https://t.co/imr3obTsc0,2016-08-01 16:10:54,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/6nER4e66Q2,2016-08-01 16:13:02,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/GrW86RACDl,2016-08-01 16:16:25,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/E96eDo2VoZ,2016-08-01 16:26:22,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/3H8KgvOR74,2016-08-01 16:36:25,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/rTJXl9sUmP,2016-08-01 16:37:18,
I'm at 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都 https://t.co/69B6jGBCpl,2016-08-01 16:38:54,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/hEBQNIJMu1,2016-08-01 16:40:26,
ﾒｲｸﾓﾃﾞﾙ声かけられちゃった〜?チキンやから断ったけど (@ 渋谷駅 in 渋谷区 東京都) https://t.co/ZaEwpXumIv,2016-08-01 16:46:34,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/qHF28d0YVM,2016-08-01 16:50:40,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @ic_jt https://t.co/ynfPNdOUdT,2016-08-01 17:05:15,
岩野にもあったし、帰る (@ 渋谷駅 in 渋谷区 東京都) https://t.co/dlSIuEUyBu,2016-08-01 17:09:37,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @oneway0401 https://t.co/xDIK98bshh,2016-08-01 17:09:43,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/4TeLgT7beX,2016-08-01 17:10:34,
着 (@ 渋谷駅 in 渋谷区 東京都) https://t.co/RJ6tw4lprN,2016-08-01 17:14:46,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/mlUeauNPmi,2016-08-01 17:15:24,
I'm at 東急東横線 渋谷駅 - @tokyu_official in 渋谷区 東京都 https://t.co/5ljlD898Xb,2016-08-01 17:30:05,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/GyqGbZhqkf,2016-08-01 17:35:53,
めっちゃ迷う(  ；∀；) (@ 渋谷駅 in 渋谷区 東京都) https://t.co/qG55PL4jrS,2016-08-01 17:42:41,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/Bv8h4ufENm,2016-08-01 17:45:42,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/NcvYYa2YAL,2016-08-01 17:48:58,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/YsEUHgfcWx,2016-08-01 17:51:20,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/els2EZhkrP,2016-08-01 17:55:06,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @yuya_glt https://t.co/M0wFUsnFrc,2016-08-01 17:59:32,
渋谷out (@ 渋谷駅 in 渋谷区 東京都) https://t.co/7IYin10Xdb,2016-08-01 18:00:23,
I'm at 東急東横線 渋谷駅 in 渋谷区 東京都 https://t.co/K6ZNlSBxMU,2016-08-01 18:01:48,
蒸しアチー・エネミー、、夏〜〜 ( ；´Д｀) (@ 渋谷駅 in 渋谷区 東京都) https://t.co/lMZslZ3ald,2016-08-01 18:03:12,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/7PkvUp7ctv,2016-08-01 18:04:36,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/uwVkEkzwkO,2016-08-01 18:05:24,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/SfruRFsJch,2016-08-01 18:09:50,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/RyJqeJTWLb,2016-08-01 18:10:07,
カメール捕まえた！ (@ 渋谷駅 in 渋谷区 東京都 w/ @yuya_glt @yudai_g_non) https://t.co/7F6BwPMIGe,2016-08-01 18:11:18,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/ur3qojMY2o,2016-08-01 18:11:59,
ポケストップモジュール天国やんけ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/zrU0XHbUMH,2016-08-01 18:12:26,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/CvGn0FUQjT,2016-08-01 18:16:14,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/WUN8o6s4ir,2016-08-01 18:17:48,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/TwnWRt5DG1,2016-08-01 18:21:02,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @djunple @yudai_g_non https://t.co/PbJHdSPnkk,2016-08-01 18:27:16,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/HrhDSUOucY,2016-08-01 18:37:16,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/tIBDYGADR3,2016-08-01 18:38:15,
戻ってきましてん (@ 渋谷駅 in 渋谷区 東京都) https://t.co/6y0w4zcSp6,2016-08-01 18:40:24,
かえろ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/NPwljIcmLZ,2016-08-01 18:55:45,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/H9wxtVqE5A,2016-08-01 18:55:50,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/dF3gPiLtla,2016-08-01 18:57:07,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/gzr4epp0Vk,2016-08-01 18:59:45,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/dwRB7Bwq1b,2016-08-01 19:00:46,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/eLHek9w3Hf,2016-08-01 19:06:51,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @ke_ru_bin https://t.co/zqUWJDm69U,2016-08-01 19:10:11,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/kd1BPhXnzD,2016-08-01 19:11:21,
優しいここちゃん〜????さっきは大好きじゃないって言ったけど大好き。#icemonster#shibuya#yummy#coco#manami#bff#tiamo#… https://t.co/ps8BN6EYO1,2016-08-01 19:11:49,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/oJKms8o8iL,2016-08-01 19:13:32,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @bes__yoyo https://t.co/BHUrKtodJj,2016-08-01 19:16:33,
満足に食べて帰宅の途に。味もお値段もまずまずだった。けど次に渋谷に来るときには忘れてそう (^_^;) (@ 渋谷駅 in 渋谷区 東京都) https://t.co/jvrlYcF3mW,2016-08-01 19:27:50,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/GxfhDMMBEp,2016-08-01 19:32:15,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/hIieivRoKo,2016-08-01 19:55:04,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/lMK1sIOqJk,2016-08-01 19:55:15,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/X5g2zZAdZM,2016-08-01 20:09:33,
【悲報】月初めから残業祭りなのん……。 (@ 渋谷駅 in 渋谷区 東京都) https://t.co/AtjN5bxkc8,2016-08-01 20:33:27,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/TgGFjS5Rrt,2016-08-01 21:11:44,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/EbmGrJH4gp,2016-08-01 21:29:54,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/oBCTABnThm,2016-08-01 21:32:29,
今日も今日とてまえだいるぞ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/Bieg50nqeH,2016-08-01 21:32:41,
I'm at JR 渋谷駅 2番線ホーム - @jreast_official in Shibuya 東京都 https://t.co/8NyGO4OkA1,2016-08-01 21:45:45,
I'm at JR 渋谷駅 - @jreast_official in 渋谷区 東京都 https://t.co/mwG8kU79Zc,2016-08-01 21:45:53,
Welcome to Japan… https://t.co/Q6k0ZJpceX,2016-08-01 21:48:41,
駅一面グランブルーファンタジーになってる... (@ 渋谷駅 in 渋谷区 東京都) https://t.co/KTJ4meyWqb,2016-08-01 21:56:00,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/lZWYayV1pg,2016-08-01 22:11:15,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/uoC7a13nh7,2016-08-01 22:12:59,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/uIyhvASyLk,2016-08-01 22:20:59,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/nqy0Fa7s6Y,2016-08-01 22:37:16,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/v6wrc75uZV,2016-08-01 22:49:44,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/2542DP8zuO,2016-08-01 22:52:06,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/ZfnxGlUDye,2016-08-01 23:01:51,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/rJxViQdcrD,2016-08-01 23:10:30,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/d9Qr7SrRCV,2016-08-01 23:19:37,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/5QwwdBbDhy,2016-08-01 23:21:18,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/8z5az9dmMj,2016-08-01 23:25:27,
乗り換え。 (@ 渋谷駅 in 渋谷区 東京都 w/ @planetofgori) https://t.co/gsyfehlTDA,2016-08-01 23:26:00,
りだつー (@ 渋谷駅 in 渋谷区 東京都) https://t.co/Y9p8qFiCsn,2016-08-01 23:56:53,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/XQyFm8oV38,2016-08-02 00:00:56,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/Vyqqx9DlUe,2016-08-02 00:26:36,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/lqU1m3bXTZ,2016-08-02 05:33:23,
帰る、また秋に (@ JR 渋谷駅 - @jreast_official in 渋谷区 東京都) https://t.co/LozGPzwUEN,2016-08-02 05:34:48,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/vK4wXmwM2H,2016-08-02 06:05:34,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/idwMs5SJsq,2016-08-02 07:11:00,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/1og5HS8c0m,2016-08-02 07:11:19,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/UVuvXXCgfD,2016-08-02 07:16:15,
りょーさん、たつやさん、ひろきNEWおめでとうござんす！！！！誕生日以外でおめでとうとありがとうがこんなにも飛び交うのってサイッコーにいい！！！！！！！8月駆け抜けて9月からフルでいった… https://t.co/cSF79NWrMF,2016-08-02 07:48:22,
,2016-08-02 07:58:43,
田園都市線下り発車できませんwwwwwww (@ 渋谷駅 in 渋谷区 東京都) https://t.co/RVNd0gHITK,2016-08-02 08:14:29,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/AXySgavZ0k,2016-08-02 08:24:57,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/sZPjMzKMEx,2016-08-02 08:32:00,
Google検索のサジェストいつのまにグリッドになったの https://t.co/6V5EeJYZv0,2016-08-02 08:33:54,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/PPbroBlkMO,2016-08-02 09:01:31,
Cygames金あるな〜。グラブル一色になってる (@ JR 渋谷駅 - @jreast_official in 渋谷区 東京都) https://t.co/NhxNCNYIXl,2016-08-02 09:08:12,
しぶりん (@ 渋谷駅 in 渋谷区 東京都) https://t.co/io14L9U7ac,2016-08-02 09:15:10,
こんなに目覚めがよくて朝ごはんまでちゃんと食べてもう渋谷ついてるなんてうん億年ぶりだわ (@ 渋谷駅 in 渋谷区 東京都) https://t.co/DMMSRqAWr9,2016-08-02 09:21:38,
今日は映画を見ます (@ 渋谷駅 in 渋谷区 東京都) https://t.co/2eTlcAtvEu,2016-08-02 09:35:20,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/GwEUL9cwXf,2016-08-02 09:38:01,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/JDSbsegR43,2016-08-02 09:46:07,
#next_party_information #,2016-08-02 09:46:35,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/AkwLK7xzaZ,2016-08-02 10:10:44,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/kNQuVbFcH9,2016-08-02 10:24:56,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/W21SQz7gBx,2016-08-02 10:35:04,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/8PaZYDBlXB,2016-08-02 10:51:03,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/bPeDPuidYl https://t.co/OwObpgHQaY,2016-08-02 10:59:47,
I'm at 渋谷駅 in 渋谷区 東京都 w/ @tomoya_yue @green_tokimaru https://t.co/EDm0SiEyGK,2016-08-02 11:05:00,
I'm at 渋谷駅 in 渋谷区 東京都 https://t.co/zJwa4J8qPW,2016-08-02 11:06:20,
