I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/gRteWM3PHl,2016-08-03 11:23:54,
寝過ごした… (@ 検見川浜駅 in 千葉市 千葉県) https://t.co/DXS1Sv5YNY,2016-08-03 15:09:13,
けみがわはまこぺろ (@ 検見川浜駅 in 千葉市 千葉県) https://t.co/kpb7H9AyAV,2016-08-05 20:06:23,
I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/2hjOQwipux,2016-08-08 07:26:40,
I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/sdYcWRkt3R,2016-08-08 18:29:10,
8月13日19時をもって閉店だと(･･;)跡は何に？？ (@ 成城石井 検見川浜店 in 千葉市美浜区 千葉県) https://t.co/FlGkYz6cAr https://t.co/5k1z1U49zS,2016-08-09 19:47:35,
お出掛けー#メカトロウィーゴ  #mechatrowego @ Kemigawahama Station https://t.co/DZc9Hq94GT,2016-08-11 10:11:57,
I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/jhYRK6YSGz,2016-08-11 14:30:39,
おりる！ (@ 検見川浜駅 in 千葉市 千葉県) https://t.co/fq5SGhvx40,2016-10-14 12:48:38,
I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/o2ONEG3ft9,2016-10-18 07:29:16,
I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/BLT2hPACd0,2016-10-18 15:30:11,
I'm at 検見川浜駅 in 千葉市 千葉県 https://t.co/c3pOYiNteu,2016-10-22 09:19:12,
