I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/B7SFqdwGjq,2016-08-01 17:43:34,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/WcYFhkRDY2,2016-08-02 18:25:21,
I'm at 餃子の王将 武蔵浦和店 in さいたま市 埼玉県 https://t.co/WZirct2fxh,2016-08-02 23:07:01,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/x1vUx0aevK,2016-08-03 00:31:18,
ポークカレー辛1 (@ カレーハウス CoCo壱番屋 JR武蔵浦和駅東口店 in さいたま市 埼玉県) https://t.co/Emf1V7kLNc https://t.co/kdsSXzHXiY,2016-08-03 15:49:07,
降られませんように…(´･_･`) @ Musashi-Urawa Station https://t.co/KIA7Rpt8rS,2016-08-03 17:53:55,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/S3tqGuMKu3,2016-08-03 17:58:45,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/notauyBd5I,2016-08-04 18:25:34,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/zuqGlQWA6k,2016-08-05 22:59:37,
本日の〆の、味噌ラーメンw (@ 餃子の王将 武蔵浦和店 in さいたま市 埼玉県) https://t.co/HJaCOMYTHJ https://t.co/5ifqlzld5s,2016-08-06 01:11:47,
親は言うな、っつうけど俺的には全然構わない。精神科。何が悪いかは分からない。高校時代の一件で入る事になったのだが…。馬鹿馬鹿しい18… https://t.co/OlyCZhM3hS,2016-08-06 11:12:07,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/TVmJGlXNrw,2016-08-06 13:52:06,
I'm at JR 武蔵野線 武蔵浦和駅 in さいたま市 埼玉県 https://t.co/yTDl0KrUVr,2016-08-06 16:22:54,
I'm at 須原屋 武蔵浦和店 in さいたま市 埼玉県 https://t.co/tBr5vYdz4t,2016-08-06 18:22:00,
武蔵浦和駅・21時59分発　各駅停車　府中本町行き　　JR東日本・武蔵野線,2016-08-06 21:52:45,
板橋花火大会のエンディング,2016-08-06 21:56:26,
武蔵野線は、空いてると思いきや、?赤のJリーグサポーターが、沢山居る?,2016-08-06 22:04:09,
今日は朝から埼玉でフットサル！その後、一緒にフットサルした大学生の人からおすすめのつけ麺を聞き行ってみた(*^◯^*)すごい濃厚でおいしかった,2016-08-07 12:37:59,
