I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/Al5emKEdqd,2016-08-01 00:25:35,
沼田にさっきまでいたような… (@ 南浦和駅 in さいたま市 埼玉県) https://t.co/xswWNklbfm,2016-08-01 00:54:54,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/zc3eqZdCGD,2016-08-01 07:39:56,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/E8moAczvgC,2016-08-01 07:40:23,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/b0ZHAI6a7f,2016-08-01 07:44:56,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/EGdft7SJJ8,2016-08-01 09:52:17,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/tpVaCThDnt,2016-08-01 12:37:29,
なすカレー・しじみ汁サラダセット。 (@ すき家 南浦和駅東口店 in さいたま市 埼玉県) https://t.co/OPvkwnV4xC https://t.co/aA8Pqi8RUn,2016-08-01 12:43:49,
すごい格好のインド人がいる(・_・)ナマステ,2016-08-01 12:58:29,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/BtDEKJ0RHg,2016-08-01 13:05:53,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/uzzzfxs71b,2016-08-01 18:14:40,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/OoV7DFrMEx,2016-08-01 19:18:58,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/NX7uEhz35v,2016-08-01 19:42:18,
EF65がキターーー！ @ Minami-Urawa Station https://t.co/kgTQNUdSJ5,2016-08-01 20:54:52,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/y3eIrdwGap,2016-08-01 21:09:38,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/aTQm2xxATL,2016-08-01 22:51:05,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/5HAhkQzZqE,2016-08-01 23:26:17,
I'm at 南浦和駅 5-6番線ホーム in さいたま市 埼玉県 https://t.co/tAFwGtfLY5,2016-08-01 23:26:36,
Fuck'n Fatが突っ込んできて、これ (@ 南浦和駅 in さいたま市 埼玉県) https://t.co/FGs7eq1vus https://t.co/ZGQSdB3oaX,2016-08-01 23:40:23,
通過 (@ 南浦和駅 in さいたま市 埼玉県) https://t.co/z2ePBSDQao,2016-08-02 06:02:28,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/gcAX8Sho5M,2016-08-02 06:59:02,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/ANmQHafJlL,2016-08-02 07:05:01,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @kenji710 @kurihara_chiaki https://t.co/i5BlrOreh6,2016-08-02 07:05:33,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @sha_dow_365 @kurihara_chiaki https://t.co/3c9iZx08IE,2016-08-02 07:36:35,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/ZwPdQllZA8,2016-08-02 08:09:25,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/CCK07P1gCD,2016-08-02 12:11:25,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/Ga06XwCfT8,2016-08-02 17:32:42,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/HGie20I1PJ,2016-08-02 18:37:33,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/9G235jt2Xw,2016-08-02 19:08:42,
I'm at チェスの馬 南馬和 in さいたま市 埼玉県 https://t.co/SsRFCcLi0B,2016-08-02 19:55:11,
通過 (@ 南浦和駅 in さいたま市 埼玉県) https://t.co/kUpzxeWRCF,2016-08-02 20:31:52,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/OxSWSmAhEX,2016-08-02 20:51:33,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/9BMU8Inp3J,2016-08-02 21:44:52,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @kenji710 @kurihara_chiaki https://t.co/PytUVmqtIt,2016-08-02 23:22:45,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/DMmdyz8r4s,2016-08-03 00:56:29,
ゴリラ (@ 南浦和駅 in さいたま市 埼玉県) https://t.co/uExCgYvZys,2016-08-03 06:10:54,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/mfHTOrkexb,2016-08-03 06:41:47,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @kenji710 https://t.co/CFRpRVIvZp,2016-08-03 07:04:44,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @kenji710 @kurihara_chiaki https://t.co/297i1BuO3j,2016-08-03 07:07:49,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @sha_dow_365 @kurihara_chiaki https://t.co/UOJ2OJLHde,2016-08-03 07:43:48,
1027A 快速 大船行 (@ 南浦和駅 in さいたま市 埼玉県) https://t.co/WpOHgcP4fM,2016-08-03 10:56:43,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/GBzfL6as76,2016-08-03 17:59:40,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/woTH94gvEc,2016-08-03 18:44:01,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/0aCAaXxKp3,2016-08-03 19:25:45,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/g6uOjVwJbl,2016-08-03 20:16:37,
I'm at 南浦和駅 5-6番線ホーム - @jreast_official in さいたま市 埼玉県 https://t.co/FUvmpbfRyt,2016-08-04 00:19:21,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/AXKVbE0xtx,2016-08-04 00:27:19,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/FWMMeODZ4f,2016-08-04 07:00:59,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/S1veAG6SIa,2016-08-04 07:21:03,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @kurihara_chiaki https://t.co/bdeOcExLUv,2016-08-04 07:29:47,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/L9qwtAsQHE,2016-08-04 12:50:15,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/lp0Th10rr0,2016-08-04 14:54:44,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/WFkhQNmL2C,2016-08-04 17:50:24,
I'm at 南浦和駅 5-6番線ホーム - @jreast_official in さいたま市 埼玉県 https://t.co/kL14IyCnXP,2016-08-04 17:52:36,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/y9N2zTHWzV,2016-08-04 18:25:04,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/ChMlSl3a1G,2016-08-04 18:37:56,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/acqPZda6zq,2016-08-04 20:01:24,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @kurihara_chiaki https://t.co/6DyrTUyZhi,2016-08-04 20:01:46,
I'm at 南浦和駅 in さいたま市 埼玉県 w/ @sha_dow_365 https://t.co/G26NN8tWG9,2016-08-04 20:11:13,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/cs8zSWGYzT,2016-08-04 22:06:37,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/0BQTtHGPtD,2016-08-04 23:52:03,
I'm at 南浦和駅 5-6番線ホーム - @jreast_official in さいたま市 埼玉県 https://t.co/XcKFwUkV3t,2016-08-05 00:18:51,
I'm at 南浦和駅 in さいたま市 埼玉県 https://t.co/zovePH5en9,2016-08-05 07:09:18,
