I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/FFU6UoZHGw,2016-08-03 16:58:13,
よっちゃんのお嫁さん (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/8eG3rSLcB5,2016-08-04 22:14:42,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/Ev5vY5DcsM,2016-08-06 17:04:41,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/AsPp0DXheI,2016-08-07 14:31:22,
結構久しぶりに来たような (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/wNvmt9zGtH,2016-08-07 17:23:32,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/w2BBShXKBT,2016-08-08 23:57:01,
みきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/HVCZYuFU81,2016-08-09 18:42:29,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/g6exZdBABz,2016-10-07 10:39:14,
みなみきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/4EuZfnA3JO,2016-10-14 19:06:12,
久々に通る (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/Rg2efaUl7R,2016-10-15 10:32:55,
みなみきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/Gv5vkBJGxj,2016-10-15 12:34:50,
秋晴れ? (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/qj3NTCnRcv,2016-10-15 12:49:12,
すごく何もない… (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/d2Finl6XgQ,2016-10-15 15:36:38,
秋葉原いきまつ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/7CmArfSJD9,2016-10-15 17:22:28,
みなみきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/MIvlozArkQ,2016-10-17 19:01:50,
よしかわみなみきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/jgllINPNPz,2016-10-19 18:49:21,
なんだこれ (@ 赤城みりあ友の会 in 吉川市 埼玉県) https://t.co/ai1tCa5vK8,2016-10-20 08:04:49,
みなみきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/LDNQroJBWR,2016-10-20 19:19:51,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/laT5F3Wtca,2016-10-22 13:16:31,
美波 (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/oqpLlWhVT5,2016-10-23 08:08:59,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/TGTZwZYR2b,2016-10-24 13:55:04,
かえりゅ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/cQ3IZ02QGD,2016-10-24 17:27:34,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/JjiXK7ynR5,2016-10-25 06:27:03,
よしかわみなみきぺろ (@ 吉川美南駅 in 吉川市 埼玉県) https://t.co/7xwCUXMUVi,2016-10-26 18:44:29,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/M8cwSCfcBb,2016-10-28 13:25:01,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/hCiGpGQFIX,2016-10-29 18:21:21,
I'm at 吉川美南駅 in 吉川市 埼玉県 https://t.co/4kpHR76zxm,2016-10-30 18:58:44,
