I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/7jF4h4E88S,2016-08-01 00:13:56,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/cvChVoBHgA,2016-08-01 05:45:51,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/Lf3O3yMc5p,2016-08-01 07:35:17,
I'm at さいたま新都心駅 1-2番線ホーム in さいたま市 埼玉県 https://t.co/RlOOgQGrgh,2016-08-01 07:57:51,
I'm at さいたま新都心駅 in さいたま市 埼玉県 w/ @yagi_mk https://t.co/GG8TIAi8bY,2016-08-01 07:58:24,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/V8ZaQcPm1Q,2016-08-01 08:02:57,
お出かけ〜。 (@ さいたま新都心駅 in さいたま市 埼玉県 w/ @yagi_mk) https://t.co/a5mPvPlSpa,2016-08-01 08:49:03,
I'm at さいたま新都心駅 1-2番線ホーム in さいたま市 埼玉県 https://t.co/CMphFJ60wC,2016-08-01 08:49:12,
I'm at さいたま新都心駅 1-2番線ホーム in さいたま市 埼玉県 https://t.co/Mc7yxjVXgu,2016-08-01 13:18:00,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/sRImCl62l7 https://t.co/ZT5Ev2OqsZ,2016-08-01 13:19:33,
あ、二郎近いな(￣▽￣) (@ さいたま新都心駅 in さいたま市 埼玉県) https://t.co/4YIxgDG7Hr,2016-08-01 19:06:54,
First time in Saitama. Pretty cool town. @ Saitama-Shintoshin Station https://t.co/m1qgrNxeDd,2016-08-01 21:09:49,
帰る。 (@ さいたま新都心駅 in さいたま市 埼玉県) https://t.co/U8V9hgFpKh,2016-08-01 23:14:47,
I'm at さいたま新都心駅 1-2番線ホーム in さいたま市 埼玉県 https://t.co/gdnw0IuyFg,2016-08-01 23:14:57,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/4mmL1nbMBx,2016-08-01 23:47:54,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/VnvkWWuLmG,2016-08-02 06:00:07,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/Gv6JXAQ50r,2016-08-02 08:02:49,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/ZmdfahSUgW,2016-08-02 08:06:40,
8月終わり頃から職場がこちらに (@ さいたま新都心駅 in さいたま市 埼玉県) https://t.co/xXw7ImBqEd,2016-08-02 09:17:20,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/5J8PWAvWnY,2016-08-02 16:51:31,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/CewpsEy5vY,2016-08-02 20:55:53,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/wIgLlHvaEK,2016-08-02 23:20:01,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/sH9icZQ6aF,2016-08-03 06:24:22,
I'm at さいたま新都心駅 1-2番線ホーム in さいたま市 埼玉県 https://t.co/7ECuPWCTbR,2016-08-03 07:44:45,
I'm at さいたま新都心駅 in さいたま市 埼玉県 w/ @yagi_mk https://t.co/KW3NkpsCFe,2016-08-03 07:44:53,
I'm at NEWDAYS さいたま新都心 in さいたま市 埼玉県 https://t.co/rxp01X0vwb,2016-08-03 07:45:07,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/sIjIluN53Z,2016-08-03 07:53:44,
到着 (@ さいたま新都心駅 in さいたま市 埼玉県) https://t.co/KNegzEXGcG,2016-08-03 09:32:09,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/fJtwjNR2gU,2016-08-03 12:28:29,
I'm at さいたま新都心駅 3-4番線ホーム - @jreast_official in さいたま市 埼玉県 https://t.co/bsacheneEq,2016-08-03 13:53:11,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/94abpAIM06,2016-08-03 13:53:19,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/EUJ09IXA7A,2016-08-03 14:42:11,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/RaVkVMEbEa,2016-08-03 15:12:10,
北浦和まで電車で (@ さいたま新都心駅 in さいたま市 埼玉県) https://t.co/tjzXt7010c,2016-08-03 16:17:33,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/3ZQ6YpWOaF,2016-08-03 18:43:21,
渋谷ァ！ (@ Saitama-Shintoshin Station in さいたま市 埼玉県) https://t.co/Hs23mexA7O,2016-08-03 20:02:37,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/ChXi5YGvLj,2016-08-04 06:24:36,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/ZWXWyFwhFb,2016-08-04 08:51:11,
I'm at さいたま新都心駅 in さいたま市 埼玉県 https://t.co/Y60W7Cqhew,2016-08-04 13:04:53,
